,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
3676,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
3677,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3678,The Citadel,SC,The Citadel,"Charleston, South Carolina",Public,Southern Conference,NCAA D1,FCS
3679,Southern Miss,MS,University of Southern Mississippi,"Hattiesburg, Mississippi",Public,Sun Belt Conference,NCAA D1,FBS
3680,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3681,Navy,MD,United States Naval Academy,"Annapolis, Maryland",Public,Patriot League,NCAA D1,FBS
3682,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
3683,Wisconsin-LaCrosse,WI,University of Wisconsin – La Crosse,"La Crosse, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3,NCAA D3
3684,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
3685,Montana,MT,University of Montana,"Missoula, Montana",Public,Big Sky Conference,NCAA D1,FCS
3686,Weber St.,UT,Weber State University,"Ogden, Utah",Public,Big Sky Conference,NCAA D1,FCS
3687,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3688,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3689,Central Michigan,MI,Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3690,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3691,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3692,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
3693,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
3694,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
3695,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
3696,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3697,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3698,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3699,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
3700,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
3701,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
3702,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
3703,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
3704,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
3705,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
3706,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
3707,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
3708,Stanford,CA,Stanford University,"Stanford, California",Private,Pac-12 Conference,NCAA D1,FBS
3709,San Diego St.,CA,San Diego State University,"San Diego, California",Public,Mountain West Conference,NCAA D1,FBS
3710,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
3711,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
3712,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
3713,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
3714,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
3715,William & Mary,VA,William & Mary,"Williamsburg, Virginia",Public,Colonial Athletic Association,NCAA D1,FCS
3716,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
3717,Bloomsburg,PA,Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2,NCAA D2
3718,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
3719,SMU,TX,Southern Methodist University – SMU,"Dallas, Texas",Private,American Athletic Conference,NCAA D1,FBS
3720,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3721,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3722,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3723,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3724,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
3725,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
3726,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
3727,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
3728,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
3729,Idaho St.,ID,Idaho State University,"Pocatello, Idaho",Public,Big Sky Conference,NCAA D1,FCS
3730,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
3731,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
3732,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
3733,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
3734,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
3735,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
3736,Toledo,OH,University of Toledo,"Toledo, Ohio",Public,Mid-American Conference,NCAA D1,FBS
3737,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
3738,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
3739,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
3740,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
3741,Boston Col.,MA,Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1,FBS
3742,Hofstra,NY,Hofstra University,"Hempstead, New York",Private,Colonial Athletic Association,NCAA D1,FCS
3743,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
3744,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3745,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3746,Towson,MD,Towson University,"Towson, Maryland",Public,Colonial Athletic Association,NCAA D1,FCS
3747,Navy,MD,United States Naval Academy,"Annapolis, Maryland",Public,Patriot League,NCAA D1,FBS
3748,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
3749,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
3750,Utah St.,UT,Utah State University,"Logan, Utah",Public,Mountain West Conference,NCAA D1,FBS
3751,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3752,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3753,Central Michigan,MI,Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3754,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3755,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3756,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3757,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3758,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
3759,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
3760,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3761,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3762,South Florida,FL,University of South Florida,"Tampa, Florida",Public,American Athletic Conference,NCAA D1,FBS
3763,South Florida,FL,University of South Florida,"Tampa, Florida",Public,American Athletic Conference,NCAA D1,FBS
3764,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3765,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3766,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3767,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3768,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
3769,Colorado State-Pueblo,CO,Colorado State University – Pueblo,"Pueblo, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2,NCAA D2
3770,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
3771,Middle Tenn. St.,TN,Middle Tennessee State University,"Murfreesboro, Tennessee",Public,Conference USA,NCAA D1,FBS
3772,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
3773,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
3774,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
3775,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
3776,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
3777,Villanova,PA,Villanova University,"Villanova, Pennsylvania",Private,Big East Conference,NCAA D1,FCS
3778,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
3779,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
3780,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
3781,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3782,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3783,West Alabama,AL,University of West Alabama,"Livingston, Alabama",Public,Gulf South Conference,NCAA D2,NCAA D2
3784,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
3785,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
3786,Northern Iowa,IA,University of Northern Iowa,"Cedar Falls, Iowa",Public,Missouri Valley Conference,NCAA D1,FCS
3787,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3788,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
3789,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
3790,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
3791,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
3792,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
3793,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
3794,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
3795,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
3796,Bowling Green,OH,Bowling Green State University,"Bowling Green, Ohio",Public,Mid-American Conference,NCAA D1,FBS
3797,Connecticut,CT,University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1,FBS
3798,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
3799,Oregon St.,OR,Oregon State University,"Corvallis, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
3800,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
3801,Buffalo,NY,SUNY University at Buffalo,"Buffalo, New York",Public,Mid-American Conference,NCAA D1,FBS
3802,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
3803,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3804,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3805,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3806,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
3807,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3808,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3809,Western Kentucky,KY,Western Kentucky University,"Bowling Green, Kentucky",Public,Conference USA,NCAA D1,FBS
3810,Central Arkansas,AR,University of Central Arkansas,"Conway, Arkansas",Public,Southland Conference,NCAA D1,FCS
3811,McGill,Quebec,McGill University,"Montreal, Quebec",Public,,,
3812,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
3813,Utah St.,UT,Utah State University,"Logan, Utah",Public,Mountain West Conference,NCAA D1,FBS
3814,Appalachian St.,NC,Appalachian State University,"Boone, North Carolina",Public,Sun Belt Conference,NCAA D1,FBS
3815,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3816,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3817,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3818,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3819,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3820,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3821,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3822,Central Michigan,MI,Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3823,Grand Valley St.,MI,Grand Valley State University,"Allendale, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2,NCAA D2
3824,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3825,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3826,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3827,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
3828,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
3829,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
3830,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3831,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3832,South Florida,FL,University of South Florida,"Tampa, Florida",Public,American Athletic Conference,NCAA D1,FBS
3833,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3834,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
3835,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
3836,Colorado State-Pueblo,CO,Colorado State University – Pueblo,"Pueblo, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2,NCAA D2
3837,Vanderbilt,TN,Vanderbilt University,"Nashville, Tennessee",Private,Southeastern Conference,NCAA D1,FBS
3838,Middle Tenn. St.,TN,Middle Tennessee State University,"Murfreesboro, Tennessee",Public,Conference USA,NCAA D1,FBS
3839,Middle Tenn. St.,TN,Middle Tennessee State University,"Murfreesboro, Tennessee",Public,Conference USA,NCAA D1,FBS
3840,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
3841,Old Dominion,VA,Old Dominion University,"Norfolk, Virginia",Public,Sunbelt Conference,NCAA D1,FBS
3842,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
3843,Villanova,PA,Villanova University,"Villanova, Pennsylvania",Private,Big East Conference,NCAA D1,FCS
3844,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
3845,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
3846,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
3847,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
3848,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
3849,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3850,West Alabama,AL,University of West Alabama,"Livingston, Alabama",Public,Gulf South Conference,NCAA D2,NCAA D2
3851,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
3852,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
3853,Iowa St.,IA,Iowa State University,"Ames, Iowa",Public,Big 12 Conference,NCAA D1,FBS
3854,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3855,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3856,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
3857,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
3858,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
3859,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
3860,Hawaii,HI,University of Hawaii at Manoa,"Honolulu, Hawaii",Public,Mountain West Conference,NCAA D1,FBS
3861,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
3862,Connecticut,CT,University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1,FBS
3863,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
3864,Oregon St.,OR,Oregon State University,"Corvallis, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
3865,Buffalo,NY,SUNY University at Buffalo,"Buffalo, New York",Public,Mid-American Conference,NCAA D1,FBS
3866,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
3867,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
3868,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3869,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3870,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3871,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
3872,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3873,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3874,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3875,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
3876,Western Kentucky,KY,Western Kentucky University,"Bowling Green, Kentucky",Public,Conference USA,NCAA D1,FBS
3877,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
3878,Missouri S&T,MO,Missouri University of Science & Technology,"Rolla, Missouri",Public,Great Lakes Valley Conference,NCAA D2,NCAA D2
3879,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
3880,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
3881,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
3882,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
3883,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
3884,Fayetteville St.,NC,Fayetteville State University,"Fayetteville, North Carolina",Public,Central Intercollegiate Athletic Association,NCAA D2,NCAA D2
3885,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3886,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3887,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3888,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3889,Western Michigan,MI,Western Michigan University,"Kalamazoo, Michigan",Public,Mid-American Conference,NCAA D1,FBS
3890,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
3891,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
3892,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
3893,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
3894,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3895,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3896,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
3897,Central Florida,FL,University of Central Florida,"Orlando, Florida",Public,American Athletic Conference,NCAA D1,FBS
3898,South Florida,FL,University of South Florida,"Tampa, Florida",Public,American Athletic Conference,NCAA D1,FBS
3899,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3900,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3901,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3902,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3903,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
3904,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
3905,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
3906,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
3907,Stanford,CA,Stanford University,"Stanford, California",Private,Pac-12 Conference,NCAA D1,FBS
3908,Ventura College,CA,Ventura College,"Ventura, California",Public,Southern California Football Association,NCAA D1,FCS
3909,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
3910,Middle Tenn. St.,TN,Middle Tennessee State University,"Murfreesboro, Tennessee",Public,Conference USA,NCAA D1,FBS
3911,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
3912,Pennsylvania,PA,University of Pennsylvania – Penn,"Philadelphia, Pennsylvania",Private,Ivy League,NCAA D1,FCS
3913,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
3914,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
3915,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
3916,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
3917,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3918,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
3919,Valdosta St.,GA,Valdosta State University,"Valdosta, Georgia",Public,Gulf South Conference,NCAA D2,NCAA D2
3920,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
3921,Georgia Southern,GA,Georgia Southern University,"Statesboro, Georgia",Public,Sun Belt Conference,NCAA D1,FBS
3922,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
3923,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
3924,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
