,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
1560,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1561,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1562,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1563,Youngstown St.,OH,Youngstown State University,"Youngstown, Ohio",Public,Horizon League,NCAA D1,FCS
1564,Connecticut,CT,University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1,FBS
1565,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
1566,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1567,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1568,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
1569,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1570,Wyoming,WY,University of Wyoming,"Laramie, Wyoming",Public,Mountain West Conference,NCAA D1,FBS
1571,Maryland,MD,University of Maryland,"College Park, Maryland",Public,Big Ten Conference,NCAA D1,FBS
1572,Navy,MD,United States Naval Academy,"Annapolis, Maryland",Public,Patriot League,NCAA D1,FBS
1573,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1574,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1575,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1576,Monmouth,NJ,Monmouth University,"West Long Branch, New Jersey",Private,Mid-Eastern Athletic Conference,NCAA D1,FCS
1577,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
1578,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
1579,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
1580,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
1581,North Dakota St.,ND,North Dakota State University,"Fargo, North Dakota",Public,Missouri Valley Conference,NCAA D1,FCS
1582,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
1583,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
1584,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
1585,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
1586,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
1587,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
1588,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
1589,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
1590,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
1591,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
1592,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
1593,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
1594,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
1595,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
1596,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
1597,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
1598,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
1599,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
1600,Stanford,CA,Stanford University,"Stanford, California",Private,Pac-12 Conference,NCAA D1,FBS
1601,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
1602,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
1603,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
1604,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
1605,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
1606,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
1607,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
1608,SMU,TX,Southern Methodist University – SMU,"Dallas, Texas",Private,American Athletic Conference,NCAA D1,FBS
1609,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
1610,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
1611,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
1612,Houston,TX,University of Houston,"Houston, Texas",Public,American Athletic Conference,NCAA D1,FBS
1613,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
1614,West Alabama,AL,University of West Alabama,"Livingston, Alabama",Public,Gulf South Conference,NCAA D2,NCAA D2
1615,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
1616,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
1617,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
1618,Eastern Illinois,IL,Eastern Illinois University,"Charleston, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
1619,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
1620,Brown,RI,Brown University,"Providence, Rhode Island",Private,Ivy League,NCAA D1,FCS
1621,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
1622,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1623,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1624,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1625,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
1626,Bowling Green,OH,Bowling Green State University,"Bowling Green, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1627,Concordia-St.Paul (MN),MN,"Concordia University, St. Paul – Minnesota","Saint Paul, Minnesota",Private,Northern Sun Intercollegiate Conference,NCAA D2,NCAA D2
1628,Oregon St.,OR,Oregon State University,"Corvallis, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1629,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1630,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1631,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
1632,Hofstra,NY,Hofstra University,"Hempstead, New York",Private,Colonial Athletic Association,NCAA D1,FCS
1633,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
1634,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
1635,Southern Miss,MS,University of Southern Mississippi,"Hattiesburg, Mississippi",Public,Sun Belt Conference,NCAA D1,FBS
1636,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
1637,Maryland,MD,University of Maryland,"College Park, Maryland",Public,Big Ten Conference,NCAA D1,FBS
1638,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1639,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1640,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1641,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1642,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
1643,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
1644,SE Missouri St.,MO,Southeast Missouri State University,"Cape Girardeau, Missouri",Public,Ohio Valley Conference,NCAA D1,FCS
1645,Arkansas St.,AR,Arkansas State University,"Jonesboro, Arkansas",Public,Sun Belt Conference,NCAA D1,FBS
1646,Nevada,NV,University of Nevada - Reno,"Reno, Nevada",Public,Mountain West Conference,NCAA D1,FBS
1647,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
1648,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1649,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1650,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1651,East Carolina,NC,East Carolina University,"Greenville, North Carolina",Public,American Athletic Conference,NCAA D1,FBS
1652,Livingstone,NC,Livingstone College,"Salisbury, North Carolina",Private,Central Intercollegiate Athletic Association,NCAA D2,NCAA D2
1653,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
1654,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
1655,Ferris St.,MI,Ferris State University,"Big Rapids, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2,NCAA D2
1656,La-Monroe,LA,University of Louisiana Monroe,"Monroe, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
1657,La-Monroe,LA,University of Louisiana Monroe,"Monroe, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
1658,Central Florida,FL,University of Central Florida,"Orlando, Florida",Public,American Athletic Conference,NCAA D1,FBS
1659,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
1660,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
1661,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
1662,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
1663,San Diego St.,CA,San Diego State University,"San Diego, California",Public,Mountain West Conference,NCAA D1,FBS
1664,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
1665,Carson-Newman,TN,Carson-Newman University,"Jefferson City, Tennessee",Private,South Atlantic Conference,NCAA D2,NCAA D2
1666,Chattanooga,TN,University of Tennessee – Chattanooga,"Chattanooga, Tennessee",Public,Southern Conference,NCAA D1,FCS
1667,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
